a q b lambda
0.4008102387941752 0.0 0.62 2.3927964995004105
0.405871818720057 0.0 0.63 2.409368919644318
0.41085308581918345 0.0 0.64 2.4265365737265476
0.4157514293010217 0.0 0.65 2.44432647315025
0.42056412897067746 0.0 0.66 2.4627675096654107
0.4252883473938587 0.0 0.67 2.481890623977107
0.4299211213115176 0.0 0.68 2.501728993522437
0.43445935220978865 0.0 0.69 2.522318242083201
0.4388997959276674 0.0 0.7 2.5436966744426797
0.4432390511826165 0.0 0.71 2.5659055396476833
0.44747354685688995 0.0 0.72 2.588989327266671
0.4515995278655724 0.0 0.73 2.612996101765555
0.4556130393956747 0.0 0.74 2.6379778810732937
0.4595099092720931 0.0 0.75 2.6639910665128044
0.46328572812718427 0.0 0.76 2.6910969330686583
0.46693582702995584 0.0 0.77 2.719362190295651
0.4704552521019861 0.0 0.78 2.7488596270288093
0.47383873558285683 0.0 0.79 2.779668855516077
0.4770806626561185 0.0 0.8 2.811877174528075
0.48017503315170895 0.0 0.81 2.845580576049797
0.4831154170413337 0.0 0.82 2.880884926070963
0.4858949022909608 0.0 0.83 2.917907358795952
0.4885060332129597 0.0 0.84 2.956777934732004
0.49094073684307515 0.0 0.85 2.9976416286785352
0.4931902339817704 0.0 0.86 3.0406607354101487
0.4952449302704045 0.0 0.87 3.086017811578064
0.4970942807656279 0.0 0.88 3.133919317272847
0.49872661851407457 0.0 0.89 3.1846001883576895
0.500128932934548 0.0 0.9 3.2383296752756268
0.5012865761463662 0.0 0.91 3.295418951001096
0.5021828619968453 0.0 0.92 3.356231272962212
0.5027984983767171 0.0 0.93 3.421195980745581
0.5031107466539728 0.0 0.94 3.4908285476756795
0.0 0.014184397163120567 0.0 1.9859748158978423
0.007095852300130691 0.014184397163120567 0.01 1.9860531457409665
0.014190864911715832 0.014184397163120567 0.02 1.9862881864416564
0.02128419772862309 0.014184397163120567 0.03 1.9866800916289094
0.028375009808998732 0.014184397163120567 0.04 1.9872291176308499
0.03546245895536561 0.014184397163120567 0.05 1.9879356239808963
0.04254570129295562 0.014184397163120567 0.06 1.9888000740300407
0.049623890845076936 0.014184397163120567 0.07 1.9898230357858957
0.05669617910447302 0.014184397163120567 0.08 1.9910051829699005
0.06376171460097758 0.014184397163120567 0.09 1.9923472962102573
0.07081964246362066 0.014184397163120567 0.1 1.993850264477404
0.07786910397673058 0.014184397163120567 0.11 1.995515086723363
0.08490923612986853 0.014184397163120567 0.12 1.9973428737014263
0.09193917115957288 0.014184397163120567 0.13 1.9993348500410382
0.09895803608308519 0.014184397163120567 0.14 2.0014923565252953
0.10596495222250674 0.014184397163120567 0.15 2.0038168526149835
0.1129590347195206 0.014184397163120567 0.16 2.006309919185445
0.11993939203758328 0.014184397163120567 0.17 2.008973261570285
0.1269051254533082 0.014184397163120567 0.18 2.01180871281678
0.13385532853381796 0.014184397163120567 0.19 2.0148182372500196
0.14078908659956793 0.014184397163120567 0.2 2.0180039343316984
0.14770547617293947 0.014184397163120567 0.21 2.021368042787869
0.15460356440864323 0.014184397163120567 0.22 2.02491294510535
0.16148240850698248 0.014184397163120567 0.23 2.028641172342967
0.16834105510737093 0.014184397163120567 0.24 2.0325554093147287
0.1751785396613316 0.014184397163120567 0.25 2.0366585001480706
0.1819938857834019 0.014184397163120567 0.26 2.0409534542435273
0.1887861045768991 0.014184397163120567 0.27 2.0454434526933145
0.1955541939355465 0.014184397163120567 0.28 2.050131855123228
0.20229713781672953 0.014184397163120567 0.29 2.0550222070447997
0.2090139054850068 0.014184397163120567 0.3 2.060118247734864
0.21570345072452693 0.014184397163120567 0.31 2.065423918663418
0.22236471101724625 0.014184397163120567 0.32 2.070943372527336
0.22899660668490318 0.014184397163120567 0.33 2.0766809829250037
0.23559803999228743 0.014184397163120567 0.34 2.0826413547168583
0.2421678942088316 0.014184397163120567 0.35 2.0888293351270684
0.2487050326235315 0.014184397163120567 0.36 2.095250025676147
0.2552082975159999 0.014184397163120567 0.37 2.1019087949013326
0.2616765090714461 0.014184397163120567 0.38 2.1088112920836997
0.26810846424295437 0.014184397163120567 0.39 2.1159634619313246
0.2745029355540086 0.014184397163120567 0.4 2.1233715603522367
0.28085866983606095 0.014184397163120567 0.41 2.131042171417212
0.287174386898722 0.014184397163120567 0.42 2.1389822255728674
0.29344877812365217 0.014184397163120567 0.43 2.147199019270062
0.29968050498171583 0.014184397163120567 0.44 2.155700236047131
0.3058681974605853 0.014184397163120567 0.45 2.1644939692986473
0.3120104524024186 0.014184397163120567 0.46 2.1735887467803114
0.3181058317377146 0.014184397163120567 0.47 2.182993557105099
0.32415286061455895 0.014184397163120567 0.48 2.192717878305253
0.33015002540517363 0.014184397163120567 0.49 2.2027717087868703
0.33609577158911125 0.014184397163120567 0.5 2.2131656007710228
0.34198850149514726 0.014184397163120567 0.51 2.223910696566062
0.3478265718924426 0.014184397163120567 0.52 2.2350187679105704
0.3536082914193737 0.014184397163120567 0.53 2.2465022586742562
0.3593319178310659 0.014184397163120567 0.54 2.2583743313174454
0.3649956550530096 0.014184397163120567 0.55 2.2706489174481885
0.37059765002089107 0.014184397163120567 0.56 2.283340772934974
0.3761359892836487 0.014184397163120567 0.57 2.296465538098918
0.38160869535632597 0.014184397163120567 0.58 2.3100398034258305
0.38701372278213986 0.014184397163120567 0.59 2.324081181612414
0.3923489538888119 0.014184397163120567 0.6 2.33860838648987
0.39761219420154664 0.014184397163120567 0.61 2.3536413197017114
0.40280116747290595 0.014184397163120567 0.62 2.3692011660972305
0.4079135102964079 0.014184397163120567 0.63 2.385310498798181
0.4129467662478287 0.014184397163120567 0.64 2.401993395254698
0.41789837950890313 0.014184397163120567 0.65 2.419275565581291
0.422765687907103 0.014184397163120567 0.66 2.4371844948326538
0.4275459153031198 0.014184397163120567 0.67 2.4557496010456252
0.4322361632465545 0.014184397163120567 0.68 2.4750024111747395
0.43683340180591673 0.014184397163120567 0.69 2.4949767574198423
0.44133445945926025 0.014184397163120567 0.7 2.515708996916425
0.4457360119303491 0.014184397163120567 0.71 2.537238258071639
0.45003456980957696 0.014184397163120567 0.72 2.5596067177083737
0.45422646478948825 0.014184397163120567 0.73 2.582859913718887
0.45830783430699235 0.014184397163120567 0.74 2.607047098888415
0.46227460434089745 0.014184397163120567 0.75 2.6322216426909595
0.46612247006560203 0.014184397163120567 0.76 2.6584414892009374
0.4698468739995318 0.014184397163120567 0.77 2.685769680961888
0.4734429811979584 0.014184397163120567 0.78 2.714274960901283
0.4769056509485035 0.014184397163120567 0.79 2.744032466974658
0.48022940428311195 0.014184397163120567 0.8 2.7751245378404956
0.4834083864429067 0.014184397163120567 0.81 2.807641652415463
0.4864363232161384 0.014184397163120567 0.82 2.8416835318895193
0.4893064697113009 0.014184397163120567 0.83 2.8773604411495493
0.4920115497425065 0.014184397163120567 0.84 2.9147947366174556
0.494543683344586 0.014184397163120567 0.85 2.9541227226797746
0.49689429910443295 0.014184397163120567 0.86 2.995496898804968
0.49905402671814014 0.014184397163120567 0.87 3.039088708576121
0.5010125632333251 0.014184397163120567 0.88 3.0850919449152463
0.5027585036533768 0.014184397163120567 0.89 3.1337270277729687
0.5042791217934257 0.014184397163120567 0.9 3.1852464709293193
