a q b lambda
0.5686404735670927 0.014184397163120567 0.87 2.3407927820809222
0.5740944814316005 0.014184397163120567 0.88 2.349625246351384
0.5795119396353791 0.014184397163120567 0.89 2.358605120441339
0.5848924829390478 0.014184397163120567 0.9 2.3677341563468066
0.590235748766704 0.014184397163120567 0.91 2.37701413867457
0.5955413772095258 0.014184397163120567 0.92 2.386446885645903
0.6008090104227636 0.014184397163120567 0.93 2.396034254939013
0.6060382923265579 0.014184397163120567 0.94 2.4057781469882484
0.6112288670980457 0.014184397163120567 0.95 2.415680517793058
0.6163803764704894 0.014184397163120567 0.96 2.4257434008414447
0.6214924557869681 0.014184397163120567 0.97 2.4359689383439322
0.6265647155360049 0.014184397163120567 0.98 2.4463595252436776
0.6315967121774277 0.014184397163120567 0.99 2.4569180335707417
0.0 0.028368794326241134 0.0 2.0003219353592137
0.007070428038291531 0.028368794326241134 0.01 2.0003619597092013
0.014140431662318749 0.028368794326241134 0.02 2.0004820401863097
0.02120958645410006 0.028368794326241134 0.03 2.000682199045335
0.028277467988060887 0.028368794326241134 0.04 2.000962473415226
0.035343651827490656 0.028368794326241134 0.05 2.001322915269364
0.04240771352079279 0.028368794326241134 0.06 2.001763591466632
0.049469228597942984 0.028368794326241134 0.07 2.002284583765088
0.05652777256721485 0.028368794326241134 0.08 2.002885988833402
0.06358292091162178 0.028368794326241134 0.09 2.003567918301317
0.07063424908597 0.028368794326241134 0.1 2.004330498775447
0.07768133251383247 0.028368794326241134 0.11 2.0051738718819654
0.08472374658476065 0.028368794326241134 0.12 2.006098194309181
0.09176106665169184 0.028368794326241134 0.13 2.0071036378552534
0.09879286802891685 0.028368794326241134 0.14 2.0081903894668116
0.10581872598956026 0.028368794326241134 0.15 2.00935865131535
0.11283821576444805 0.028368794326241134 0.16 2.0106086408310078
0.1198509125402816 0.028368794326241134 0.17 2.011940590783512
0.12685639145884867 0.028368794326241134 0.18 2.0133547493396984
0.13385422761601531 0.028368794326241134 0.19 2.0148513801462555
0.14084399606194445 0.028368794326241134 0.2 2.016430762389853
0.147825271800428 0.028368794326241134 0.21 2.018093190901827
0.1547976297903719 0.028368794326241134 0.22 2.0198389762163114
0.16176064494681167 0.028368794326241134 0.23 2.021668444663104
0.16871389214108543 0.028368794326241134 0.24 2.023581938496203
0.17565694620478853 0.028368794326241134 0.25 2.0255798159435434
0.18258938193188853 0.028368794326241134 0.26 2.0276624513250154
0.18951077408068853 0.028368794326241134 0.27 2.0298302351871675
0.19642069737967485 0.028368794326241134 0.28 2.032083574368755
0.20331872653129066 0.028368794326241134 0.29 2.0344228921339287
0.21020443621590795 0.028368794326241134 0.3 2.036848628315431
0.21707740109962978 0.028368794326241134 0.31 2.0393612393989327
0.22393719584086183 0.028368794326241134 0.32 2.041961198654462
0.23078339509525986 0.028368794326241134 0.33 2.0446489963137675
0.23761557352853865 0.028368794326241134 0.34 2.0474251396226957
0.24443330582081615 0.028368794326241134 0.35 2.05029015306716
